,date,state,fips,cases,deaths
8374,2020-08-02,Alabama,1,91444,1627
6999,2020-07-08,Alabama,1,46962,1058
5019,2020-06-02,Alabama,1,18771,653
2489,2020-04-17,Alabama,1,4572,151
6944,2020-07-07,Alabama,1,45785,1033
3589,2020-05-07,Alabama,1,9046,369
3864,2020-05-12,Alabama,1,10464,435
957,2020-03-20,Alabama,1,106,0
3919,2020-05-13,Alabama,1,10700,450
8429,2020-08-03,Alabama,1,92661,1633
637,2020-03-14,Alabama,1,12,0
5679,2020-06-14,Alabama,1,25615,773
5074,2020-06-03,Alabama,1,18851,653
1499,2020-03-30,Alabama,1,947,11
5404,2020-06-09,Alabama,1,21422,729
3809,2020-05-11,Alabama,1,10164,403
1065,2020-03-22,Alabama,1,157,0
2159,2020-04-11,Alabama,1,3262,93
1173,2020-03-24,Alabama,1,242,0
7770,2020-07-22,Alaska,2,2617,17
3205,2020-04-30,Alaska,2,353,7
6340,2020-06-26,Alaska,2,1001,12
6945,2020-07-07,Alaska,2,1423,15
7055,2020-07-09,Alaska,2,1521,15
743,2020-03-16,Alaska,2,3,0
1775,2020-04-04,Alaska,2,169,3
3810,2020-05-11,Alaska,2,380,8
587,2020-03-13,Alaska,2,1,0
1390,2020-03-28,Alaska,2,102,1
4415,2020-05-22,Alaska,2,404,8
6395,2020-06-27,Alaska,2,1027,12
4360,2020-05-21,Alaska,2,402,8
7660,2020-07-20,Alaska,2,2412,16
1555,2020-03-31,Alaska,2,133,2
3150,2020-04-29,Alaska,2,353,7
6890,2020-07-06,Alaska,2,1401,14
7000,2020-07-08,Alaska,2,1472,15
3260,2020-05-01,Alaska,2,362,7
3755,2020-05-10,Alaska,2,378,8
7715,2020-07-21,Alaska,2,2523,16
7275,2020-07-13,Alaska,2,1843,15
7605,2020-07-19,Alaska,2,2275,16
4195,2020-05-18,Alaska,2,399,8
3645,2020-05-08,Alaska,2,376,8
3425,2020-05-04,Alaska,2,368,7
690,2020-03-15,Alaska,2,1,0
1500,2020-03-30,Alaska,2,120,2
3480,2020-05-05,Alaska,2,369,7
7385,2020-07-15,Alaska,2,1958,15
638,2020-03-14,Alaska,2,1,0
6615,2020-07-01,Alaska,2,1174,12
7330,2020-07-14,Alaska,2,1897,15
6780,2020-07-04,Alaska,2,1339,14
6725,2020-07-03,Alaska,2,1284,13
4140,2020-05-17,Alaska,2,396,8
7220,2020-07-12,Alaska,2,1772,15
3535,2020-05-06,Alaska,2,370,8
6670,2020-07-02,Alaska,2,1224,12
3590,2020-05-07,Alaska,2,373,8
1665,2020-04-02,Alaska,2,146,2
4085,2020-05-16,Alaska,2,392,8
1445,2020-03-29,Alaska,2,114,2
4030,2020-05-15,Alaska,2,388,8
3920,2020-05-13,Alaska,2,383,8
7110,2020-07-10,Alaska,2,1579,15
3975,2020-05-14,Alaska,2,387,8
3315,2020-05-02,Alaska,2,363,7
6450,2020-06-28,Alaska,2,1060,12
4305,2020-05-20,Alaska,2,402,8
7550,2020-07-18,Alaska,2,2157,16
1610,2020-04-01,Alaska,2,143,2
6835,2020-07-05,Alaska,2,1371,14
6505,2020-06-29,Alaska,2,1085,12
3370,2020-05-03,Alaska,2,366,7
4250,2020-05-19,Alaska,2,399,8
7495,2020-07-17,Alaska,2,2083,15
1720,2020-04-03,Alaska,2,156,2
7440,2020-07-16,Alaska,2,2034,15
6560,2020-06-30,Alaska,2,1132,12
7165,2020-07-11,Alaska,2,1656,15
3700,2020-05-09,Alaska,2,377,8
539,2020-03-12,Alaska,2,1,0
5515,2020-06-11,Alaska,2,666,9
2710,2020-04-21,Alaska,2,327,7
5570,2020-06-12,Alaska,2,688,10
1995,2020-04-08,Alaska,2,224,5
5185,2020-06-05,Alaska,2,565,8
8155,2020-07-29,Alaska,2,3440,20
5955,2020-06-19,Alaska,2,821,10
958,2020-03-20,Alaska,2,14,0
2765,2020-04-22,Alaska,2,333,7
4800,2020-05-29,Alaska,2,436,8
6010,2020-06-20,Alaska,2,845,10
2820,2020-04-23,Alaska,2,335,7
8430,2020-08-03,Alaska,2,4062,23
2270,2020-04-13,Alaska,2,275,6
4745,2020-05-28,Alaska,2,430,8
2490,2020-04-17,Alaska,2,307,7
8100,2020-07-28,Alaska,2,3348,20
1282,2020-03-26,Alaska,2,69,0
1120,2020-03-23,Alaska,2,36,0
4855,2020-05-30,Alaska,2,441,8
8210,2020-07-30,Alaska,2,3557,21
1012,2020-03-21,Alaska,2,21,0
5625,2020-06-13,Alaska,2,722,10
4965,2020-06-01,Alaska,2,476,8
1228,2020-03-25,Alaska,2,59,0
8265,2020-07-31,Alaska,2,3675,21
2325,2020-04-14,Alaska,2,283,7
2600,2020-04-19,Alaska,2,317,7
5130,2020-06-04,Alaska,2,542,8
8320,2020-08-01,Alaska,2,3825,22
2655,2020-04-20,Alaska,2,319,7
5845,2020-06-17,Alaska,2,776,10
2545,2020-04-18,Alaska,2,312,7
2050,2020-04-09,Alaska,2,233,5
5900,2020-06-18,Alaska,2,795,10
8485,2020-08-04,Alaska,2,4123,23
4910,2020-05-31,Alaska,2,469,8
1940,2020-04-07,Alaska,2,211,4
5790,2020-06-16,Alaska,2,751,10
904,2020-03-19,Alaska,2,12,0
2875,2020-04-24,Alaska,2,337,7
2435,2020-04-16,Alaska,2,298,7
4580,2020-05-25,Alaska,2,412,8
3865,2020-05-12,Alaska,2,383,8
2160,2020-04-11,Alaska,2,255,6
2985,2020-04-26,Alaska,2,339,7
5405,2020-06-09,Alaska,2,620,9
6230,2020-06-24,Alaska,2,926,10
7880,2020-07-24,Alaska,2,2746,17
1336,2020-03-27,Alaska,2,85,1
1066,2020-03-22,Alaska,2,22,0
4525,2020-05-24,Alaska,2,409,8
1830,2020-04-05,Alaska,2,183,4
3095,2020-04-28,Alaska,2,349,7
5680,2020-06-14,Alaska,2,734,10
7825,2020-07-23,Alaska,2,2682,17
6285,2020-06-25,Alaska,2,971,10
4470,2020-05-23,Alaska,2,409,8
1174,2020-03-24,Alaska,2,42,0
2105,2020-04-10,Alaska,2,244,5
796,2020-03-17,Alaska,2,6,0
3040,2020-04-27,Alaska,2,343,7
5350,2020-06-08,Alaska,2,607,8
6065,2020-06-21,Alaska,2,859,10
8375,2020-08-02,Alaska,2,3982,22
5460,2020-06-10,Alaska,2,642,9
2215,2020-04-12,Alaska,2,270,6
5240,2020-06-06,Alaska,2,579,8
4690,2020-05-27,Alaska,2,417,8
1885,2020-04-06,Alaska,2,189,4
5075,2020-06-03,Alaska,2,516,8
850,2020-03-18,Alaska,2,9,0
8045,2020-07-27,Alaska,2,3204,19
6120,2020-06-22,Alaska,2,869,10
5020,2020-06-02,Alaska,2,497,8
7990,2020-07-26,Alaska,2,3100,18
6175,2020-06-23,Alaska,2,905,10
2380,2020-04-15,Alaska,2,291,7
4635,2020-05-26,Alaska,2,416,8
2930,2020-04-25,Alaska,2,337,7
5295,2020-06-07,Alaska,2,588,8
5735,2020-06-15,Alaska,2,738,10
7935,2020-07-25,Alaska,2,2866,18
4031,2020-05-15,Arizona,4,13169,651
6781,2020-07-04,Arizona,4,94616,1821
1501,2020-03-30,Arizona,4,1169,20
5076,2020-06-03,Arizona,4,22245,983
5131,2020-06-04,Arizona,4,22818,1000
5351,2020-06-08,Arizona,4,27761,1052
6946,2020-07-07,Arizona,4,105159,1933
1067,2020-03-22,Arizona,4,153,2
6891,2020-07-06,Arizona,4,101542,1832
5296,2020-06-07,Arizona,4,26924,1048
5406,2020-06-09,Arizona,4,28396,1074
588,2020-03-13,Arizona,4,9,0
5241,2020-06-06,Arizona,4,25517,1046
5461,2020-06-10,Arizona,4,29981,1100
1121,2020-03-23,Arizona,4,234,2
3921,2020-05-13,Arizona,4,12176,594
5516,2020-06-11,Arizona,4,31525,1130
5186,2020-06-05,Arizona,4,24369,1016
1013,2020-03-21,Arizona,4,104,1
3976,2020-05-14,Arizona,4,12674,624
6836,2020-07-05,Arizona,4,98126,1829
5571,2020-06-12,Arizona,4,33167,1157
5626,2020-06-13,Arizona,4,34773,1190
4636,2020-05-26,Arizona,4,16783,807
6121,2020-06-22,Arizona,4,54767,1354
851,2020-03-18,Arizona,4,28,0
6451,2020-06-28,Arizona,4,73961,1594
4691,2020-05-27,Arizona,4,17262,831
4306,2020-05-20,Arizona,4,14897,747
6066,2020-06-21,Arizona,4,52666,1350
1283,2020-03-26,Arizona,4,508,8
6506,2020-06-29,Arizona,4,74602,1598
744,2020-03-16,Arizona,4,18,0
6176,2020-06-23,Arizona,4,58397,1398
4361,2020-05-21,Arizona,4,15315,763
6286,2020-06-25,Arizona,4,63297,1495
4471,2020-05-23,Arizona,4,16040,799
6341,2020-06-26,Arizona,4,66676,1537
4416,2020-05-22,Arizona,4,15608,775
797,2020-03-17,Arizona,4,20,0
4251,2020-05-19,Arizona,4,14566,704
4526,2020-05-24,Arizona,4,16339,800
6231,2020-06-24,Arizona,4,60207,1467
6396,2020-06-27,Arizona,4,70152,1581
4581,2020-05-25,Arizona,4,16561,806
1391,2020-03-28,Arizona,4,773,15
1337,2020-03-27,Arizona,4,665,15
5681,2020-06-14,Arizona,4,35953,1194
4746,2020-05-28,Arizona,4,17763,857
4801,2020-05-29,Arizona,4,18465,885
6671,2020-07-02,Arizona,4,87495,1766
5791,2020-06-16,Arizona,4,39298,1228
4086,2020-05-16,Arizona,4,13631,679
959,2020-03-20,Arizona,4,70,1
5021,2020-06-02,Arizona,4,21250,943
5736,2020-06-15,Arizona,4,37005,1204
1175,2020-03-24,Arizona,4,326,6
6726,2020-07-03,Arizona,4,91894,1802
639,2020-03-14,Arizona,4,12,0
4966,2020-06-01,Arizona,4,20123,918
4141,2020-05-17,Arizona,4,13937,680
1229,2020-03-25,Arizona,4,402,6
5956,2020-06-19,Arizona,4,46914,1322
6561,2020-06-30,Arizona,4,79399,1645
4196,2020-05-18,Arizona,4,14170,686
1446,2020-03-29,Arizona,4,930,18
691,2020-03-15,Arizona,4,13,0
6011,2020-06-20,Arizona,4,50198,1347
4856,2020-05-30,Arizona,4,19255,903
5901,2020-06-18,Arizona,4,43731,1287
4911,2020-05-31,Arizona,4,19936,906
5846,2020-06-17,Arizona,4,41159,1252
6616,2020-07-01,Arizona,4,84152,1726
905,2020-03-19,Arizona,4,47,0
1556,2020-03-31,Arizona,4,1298,24
7936,2020-07-25,Arizona,4,160055,3288
7771,2020-07-22,Arizona,4,150659,2976
3096,2020-04-28,Arizona,4,6948,297
322,2020-03-06,Arizona,4,3,0
7826,2020-07-23,Arizona,4,153029,3067
3041,2020-04-27,Arizona,4,6716,277
1831,2020-04-05,Arizona,4,2269,64
301,2020-03-05,Arizona,4,2,0
7881,2020-07-24,Arizona,4,156392,3156
2986,2020-04-26,Arizona,4,6526,277
284,2020-03-04,Arizona,4,2,0
2051,2020-04-09,Arizona,4,3018,89
2931,2020-04-25,Arizona,4,6280,275
268,2020-03-03,Arizona,4,2,0
7991,2020-07-26,Arizona,4,162041,3313
2271,2020-04-13,Arizona,4,3702,122
7716,2020-07-21,Arizona,4,148730,2918
3371,2020-05-03,Arizona,4,8640,362
418,2020-03-09,Arizona,4,6,0
7441,2020-07-16,Arizona,4,134730,2506
1721,2020-04-03,Arizona,4,1769,41
2216,2020-04-12,Arizona,4,3539,117
7496,2020-07-17,Arizona,4,138575,2597
253,2020-03-02,Arizona,4,1,0
3316,2020-05-02,Arizona,4,8364,353
383,2020-03-08,Arizona,4,5,0
7606,2020-07-19,Arizona,4,143644,2768
3261,2020-05-01,Arizona,4,7962,330
7661,2020-07-20,Arizona,4,145320,2795
1776,2020-04-04,Arizona,4,2019,53
3206,2020-04-30,Arizona,4,7648,320
350,2020-03-07,Arizona,4,5,0
7551,2020-07-18,Arizona,4,141333,2733
2876,2020-04-24,Arizona,4,6045,268
2656,2020-04-20,Arizona,4,5064,191
169,2020-02-22,Arizona,4,1,0
2601,2020-04-19,Arizona,4,4929,188
161,2020-02-21,Arizona,4,1,0
8266,2020-07-31,Arizona,4,174108,3695
153,2020-02-20,Arizona,4,1,0
145,2020-02-19,Arizona,4,1,0
8321,2020-08-01,Arizona,4,177019,3753
2546,2020-04-18,Arizona,4,4719,181
137,2020-02-18,Arizona,4,1,0
2381,2020-04-15,Arizona,4,3962,142
2491,2020-04-17,Arizona,4,4507,174
1996,2020-04-08,Arizona,4,2726,80
129,2020-02-17,Arizona,4,1,0
122,2020-02-16,Arizona,4,1,0
8376,2020-08-02,Arizona,4,178473,3769
115,2020-02-15,Arizona,4,1,0
2436,2020-04-16,Arizona,4,4234,152
8431,2020-08-03,Arizona,4,179506,3785
177,2020-02-23,Arizona,4,1,0
240,2020-03-01,Arizona,4,1,0
1886,2020-04-06,Arizona,4,2466,67
230,2020-02-29,Arizona,4,1,0
8101,2020-07-28,Arizona,4,165994,3424
220,2020-02-28,Arizona,4,1,0
2821,2020-04-23,Arizona,4,5769,257
8046,2020-07-27,Arizona,4,163918,3320
2326,2020-04-14,Arizona,4,3806,131
211,2020-02-27,Arizona,4,1,0
202,2020-02-26,Arizona,4,1,0
8156,2020-07-29,Arizona,4,168361,3470
2711,2020-04-21,Arizona,4,5251,213
193,2020-02-25,Arizona,4,1,0
8211,2020-07-30,Arizona,4,170905,3628
185,2020-02-24,Arizona,4,1,0
8486,2020-08-04,Arizona,4,180537,3850
1941,2020-04-07,Arizona,4,2577,77
2766,2020-04-22,Arizona,4,5459,236
3426,2020-05-04,Arizona,4,8919,362
3151,2020-04-29,Arizona,4,7202,308
3701,2020-05-09,Arizona,4,10960,532
3756,2020-05-10,Arizona,4,11119,536
455,2020-03-10,Arizona,4,6,0
3536,2020-05-06,Arizona,4,9707,426
540,2020-03-12,Arizona,4,9,0
7056,2020-07-09,Arizona,4,112783,2047
1666,2020-04-02,Arizona,4,1600,35
7276,2020-07-13,Arizona,4,123917,2250
3591,2020-05-07,Arizona,4,9945,450
7111,2020-07-10,Arizona,4,116947,2093
1611,2020-04-01,Arizona,4,1413,29
2161,2020-04-11,Arizona,4,3393,112
7166,2020-07-11,Arizona,4,119991,2158
3646,2020-05-08,Arizona,4,10526,517
7221,2020-07-12,Arizona,4,122479,2239
2106,2020-04-10,Arizona,4,3112,97
494,2020-03-11,Arizona,4,9,0
3481,2020-05-05,Arizona,4,9305,395
3866,2020-05-12,Arizona,4,11736,562
7386,2020-07-15,Arizona,4,131411,2442
7331,2020-07-14,Arizona,4,128126,2341
3811,2020-05-11,Arizona,4,11380,542
7001,2020-07-08,Arizona,4,108710,1973
5737,2020-06-15,Arkansas,5,12917,182
8102,2020-07-28,Arkansas,5,40181,428
6012,2020-06-20,Arkansas,5,15142,224
5022,2020-06-02,Arkansas,5,7818,136
1068,2020-03-22,Arkansas,5,165,0
2822,2020-04-23,Arkansas,5,2599,45
8377,2020-08-02,Arkansas,5,43810,464
3812,2020-05-11,Arkansas,5,4043,94
2107,2020-04-10,Arkansas,5,1202,24
5297,2020-06-07,Arkansas,5,9426,154
2767,2020-04-22,Arkansas,5,2392,44
4747,2020-05-28,Arkansas,5,6538,125
2327,2020-04-14,Arkansas,5,1498,32
1612,2020-04-01,Arkansas,5,624,10
6837,2020-07-05,Arkansas,5,23814,287
5957,2020-06-19,Arkansas,5,14631,214
3977,2020-05-14,Arkansas,5,4366,98
2437,2020-04-16,Arkansas,5,1620,37
8432,2020-08-03,Arkansas,5,44597,475
1502,2020-03-30,Arkansas,5,508,7
4637,2020-05-26,Arkansas,5,6180,119
1557,2020-03-31,Arkansas,5,564,8
2877,2020-04-24,Arkansas,5,2810,47
8047,2020-07-27,Arkansas,5,39447,408
852,2020-03-18,Arkansas,5,33,0
6947,2020-07-07,Arkansas,5,24512,301
4692,2020-05-27,Arkansas,5,6277,120
3647,2020-05-08,Arkansas,5,3747,88
1176,2020-03-24,Arkansas,5,231,2
1284,2020-03-26,Arkansas,5,350,3
6067,2020-06-21,Arkansas,5,15561,225
1887,2020-04-06,Arkansas,5,927,16
5572,2020-06-12,Arkansas,5,11547,176
6782,2020-07-04,Arkansas,5,23209,286
4032,2020-05-15,Arkansas,5,4463,98
7167,2020-07-11,Arkansas,5,27864,319
7112,2020-07-10,Arkansas,5,26803,313
8157,2020-07-29,Arkansas,5,40968,434
2712,2020-04-21,Arkansas,5,2262,43
2657,2020-04-20,Arkansas,5,1971,42
2602,2020-04-19,Arkansas,5,1781,39
541,2020-03-12,Arkansas,5,6,0
2492,2020-04-17,Arkansas,5,1695,37
6892,2020-07-06,Arkansas,5,24253,292
8267,2020-07-31,Arkansas,5,42511,453
589,2020-03-13,Arkansas,5,7,0
4967,2020-06-01,Arkansas,5,7443,133
5077,2020-06-03,Arkansas,5,8067,142
2547,2020-04-18,Arkansas,5,1777,38
5792,2020-06-16,Arkansas,5,13191,188
3757,2020-05-10,Arkansas,5,4012,91
5847,2020-06-17,Arkansas,5,13606,197
7002,2020-07-08,Arkansas,5,25246,305
1230,2020-03-25,Arkansas,5,307,2
8322,2020-08-01,Arkansas,5,43173,458
4802,2020-05-29,Arkansas,5,6777,132
8487,2020-08-04,Arkansas,5,45381,490
3922,2020-05-13,Arkansas,5,4236,97
2382,2020-04-15,Arkansas,5,1599,34
5627,2020-06-13,Arkansas,5,12095,177
960,2020-03-20,Arkansas,5,100,0
8212,2020-07-30,Arkansas,5,41759,442
906,2020-03-19,Arkansas,5,62,0
4857,2020-05-30,Arkansas,5,7013,133
7992,2020-07-26,Arkansas,5,38623,401
1942,2020-04-07,Arkansas,5,997,18
3702,2020-05-09,Arkansas,5,3747,88
5902,2020-06-18,Arkansas,5,13928,208
7057,2020-07-09,Arkansas,5,26052,309
1997,2020-04-08,Arkansas,5,1077,18
5352,2020-06-08,Arkansas,5,9740,155
4912,2020-05-31,Arkansas,5,7253,133
3427,2020-05-04,Arkansas,5,3469,80
6122,2020-06-22,Arkansas,5,16083,227
6452,2020-06-28,Arkansas,5,19818,264
3317,2020-05-02,Arkansas,5,3372,72
7607,2020-07-19,Arkansas,5,33228,357
4087,2020-05-16,Arkansas,5,4578,98
3262,2020-05-01,Arkansas,5,3310,64
745,2020-03-16,Arkansas,5,22,0
7662,2020-07-20,Arkansas,5,33927,363
4307,2020-05-20,Arkansas,5,5003,107
1122,2020-03-23,Arkansas,5,201,0
3207,2020-04-30,Arkansas,5,3281,61
1667,2020-04-02,Arkansas,5,683,12
4362,2020-05-21,Arkansas,5,5458,110
1777,2020-04-04,Arkansas,5,743,14
6397,2020-06-27,Arkansas,5,19310,259
6672,2020-07-02,Arkansas,5,22075,279
495,2020-03-11,Arkansas,5,1,0
3537,2020-05-06,Arkansas,5,3611,87
7277,2020-07-13,Arkansas,5,28939,323
1392,2020-03-28,Arkansas,5,409,5
2162,2020-04-11,Arkansas,5,1228,25
7552,2020-07-18,Arkansas,5,32533,357
7387,2020-07-15,Arkansas,5,30297,335
692,2020-03-15,Arkansas,5,16,0
3372,2020-05-03,Arkansas,5,3431,76
1447,2020-03-29,Arkansas,5,449,6
6562,2020-06-30,Arkansas,5,20777,270
3482,2020-05-05,Arkansas,5,3525,83
7442,2020-07-16,Arkansas,5,31114,341
5407,2020-06-09,Arkansas,5,10080,161
4142,2020-05-17,Arkansas,5,4759,98
1722,2020-04-03,Arkansas,5,738,12
6617,2020-07-01,Arkansas,5,21197,277
7497,2020-07-17,Arkansas,5,31762,353
6507,2020-06-29,Arkansas,5,20257,265
5462,2020-06-10,Arkansas,5,10368,165
7332,2020-07-14,Arkansas,5,29733,331
4252,2020-05-19,Arkansas,5,4923,102
2217,2020-04-12,Arkansas,5,1280,27
4197,2020-05-18,Arkansas,5,4813,100
4417,2020-05-22,Arkansas,5,5612,113
3592,2020-05-07,Arkansas,5,3694,88
7717,2020-07-21,Arkansas,5,34655,374
1338,2020-03-27,Arkansas,5,385,3
1832,2020-04-05,Arkansas,5,853,16
6232,2020-06-24,Arkansas,5,17375,240
7882,2020-07-24,Arkansas,5,37249,394
2987,2020-04-26,Arkansas,5,3001,50
640,2020-03-14,Arkansas,5,9,0
2052,2020-04-09,Arkansas,5,1146,21
4527,2020-05-24,Arkansas,5,5922,116
3867,2020-05-12,Arkansas,5,4164,95
6177,2020-06-23,Arkansas,5,16678,237
7937,2020-07-25,Arkansas,5,37981,399
2932,2020-04-25,Arkansas,5,2909,48
6727,2020-07-03,Arkansas,5,22622,281
5242,2020-06-06,Arkansas,5,9101,154
5132,2020-06-04,Arkansas,5,8425,151
1014,2020-03-21,Arkansas,5,118,0
4582,2020-05-25,Arkansas,5,6029,117
5682,2020-06-14,Arkansas,5,12501,179
3152,2020-04-29,Arkansas,5,3207,59
6342,2020-06-26,Arkansas,5,18740,249
7772,2020-07-22,Arkansas,5,35246,380
5517,2020-06-11,Arkansas,5,10816,171
5187,2020-06-05,Arkansas,5,8651,152
3097,2020-04-28,Arkansas,5,3127,57
7222,2020-07-12,Arkansas,5,28367,321
7827,2020-07-23,Arkansas,5,36259,386
6287,2020-06-25,Arkansas,5,18062,240
4472,2020-05-23,Arkansas,5,5775,115
2272,2020-04-13,Arkansas,5,1475,30
798,2020-03-17,Arkansas,5,22,0
3042,2020-04-27,Arkansas,5,3069,51
2218,2020-04-12,California,6,23323,676
5298,2020-06-07,California,6,131997,4653
5243,2020-06-06,California,6,129147,4626
2383,2020-04-15,California,6,27107,885
2163,2020-04-11,California,6,22421,632
5133,2020-06-04,California,6,122917,4484
2108,2020-04-10,California,6,21366,594
5188,2020-06-05,California,6,126510,4550
2273,2020-04-13,California,6,24334,725
5078,2020-06-03,California,6,120407,4422
1123,2020-03-23,California,6,2240,39
2053,2020-04-09,California,6,20191,548
2328,2020-04-14,California,6,25758,778
1558,2020-03-31,California,6,8583,184
2438,2020-04-16,California,6,28142,971
3483,2020-05-05,California,6,58848,2386
4143,2020-05-17,California,6,80366,3290
3428,2020-05-04,California,6,56333,2297
3373,2020-05-03,California,6,55072,2235
1448,2020-03-29,California,6,6321,132
4198,2020-05-18,California,6,81943,3322
1723,2020-04-03,California,6,12569,282
4308,2020-05-20,California,6,86125,3514
3318,2020-05-02,California,6,53753,2213
3263,2020-05-01,California,6,52318,2147
1393,2020-03-28,California,6,5566,122
3208,2020-04-30,California,6,50470,2057
4363,2020-05-21,California,6,88488,3624
